experiment,change,class,images,instances,box_p,box_r,box_f1,box_map50,box_map50_95,mask_p,mask_r,mask_f1,mask_map50,mask_map50_95
Baseline-b4,Control,Overall,95,330,0.648,0.611,0.628956,0.656,0.418,0.657,0.609,0.632090,0.656,0.322
Baseline-b4,Control,Rice leaffolder,66,281,0.581,0.528,0.553234,0.589,0.335,0.595,0.523,0.556682,0.574,0.268
Baseline-b4,Control,Rice stemborers,32,49,0.715,0.694,0.704344,0.723,0.502,0.719,0.694,0.706279,0.737,0.377
V1-CBAM-b4,Four-stage backbone CBAM,Overall,95,330,0.721,0.559,0.629748,0.656,0.419,0.713,0.551,0.621619,0.647,0.321
V1-CBAM-b4,Four-stage backbone CBAM,Rice leaffolder,66,281,0.668,0.445,0.534160,0.569,0.336,0.675,0.448,0.538557,0.583,0.270
V1-CBAM-b4,Four-stage backbone CBAM,Rice stemborers,32,49,0.773,0.673,0.719542,0.742,0.503,0.752,0.653,0.699012,0.711,0.371
V1b-SR-CBAM-b4,Selective residual CBAM at P3 and P4,Overall,95,330,0.641,0.642,0.641500,0.666,0.415,0.680,0.621,0.649162,0.663,0.322
V1b-SR-CBAM-b4,Selective residual CBAM at P3 and P4,Rice leaffolder,66,281,0.562,0.509,0.534189,0.547,0.311,0.616,0.488,0.544580,0.561,0.248
V1b-SR-CBAM-b4,Selective residual CBAM at P3 and P4,Rice stemborers,32,49,0.720,0.776,0.746952,0.786,0.519,0.743,0.755,0.748952,0.766,0.396
V2-P2-b4,Lightweight P2 high-resolution prediction branch,Overall,95,330,0.636,0.616,0.625840,0.678,0.421,0.650,0.624,0.636735,0.682,0.335
V2-P2-b4,Lightweight P2 high-resolution prediction branch,Rice leaffolder,66,281,0.624,0.498,0.553925,0.580,0.322,0.650,0.512,0.572806,0.589,0.264
V2-P2-b4,Lightweight P2 high-resolution prediction branch,Rice stemborers,32,49,0.648,0.735,0.688764,0.776,0.519,0.650,0.735,0.689892,0.775,0.406
V3-Dice-b4,BCE plus Dice mask loss,Overall,95,330,0.740,0.613,0.670540,0.672,0.425,0.744,0.619,0.675768,0.673,0.325
V3-Dice-b4,BCE plus Dice mask loss,Rice leaffolder,66,281,0.619,0.512,0.560439,0.592,0.355,0.631,0.523,0.571946,0.601,0.278
V3-Dice-b4,BCE plus Dice mask loss,Rice stemborers,32,49,0.861,0.714,0.780640,0.752,0.495,0.856,0.714,0.778578,0.744,0.372
