epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0009,2.03249,2.57992,4.07122,0.00895,4.72538,0.42878,0.39233,0.31981,0.14559,0.42712,0.39992,0.33218,0.1486,1.75322,1.74328,2.52439,0.00972,0,0.000329927,0.000329927,0.000329927
2,70.0163,1.76338,1.77658,2.31026,0.00705,2.49091,0.18597,0.48144,0.24198,0.13135,0.18138,0.47611,0.23022,0.09273,1.87267,1.82137,2.9082,0.01036,0,0.000661685,0.000661685,0.000661685
3,102.551,1.82031,1.72752,2.22623,0.00753,1.93127,0.36176,0.42394,0.33326,0.14862,0.38972,0.45906,0.37422,0.15664,1.96038,1.81615,2.28414,0.01146,0,0.000991793,0.000991793,0.000991793
4,134.992,1.84686,1.75886,2.25086,0.00746,2.07082,0.36281,0.37805,0.33764,0.17141,0.4616,0.32352,0.33478,0.12657,1.71243,1.63396,2.12875,0.00988,0,0.00132025,0.00132025,0.00132025
5,167.354,1.84391,1.69998,2.13037,0.00749,1.82866,0.40935,0.47385,0.41947,0.19061,0.41336,0.47741,0.42563,0.16188,1.75321,1.73871,2.4125,0.01015,0,0.00164706,0.00164706,0.00164706
6,199.787,1.82026,1.70114,2.06859,0.00734,1.78474,0.42292,0.4768,0.35449,0.18242,0.45064,0.44215,0.32171,0.11634,1.80753,1.54059,2.90574,0.01042,0,0.00164637,0.00164637,0.00164637
7,231.979,1.80525,1.679,2.06435,0.00759,1.79708,0.49794,0.46293,0.45647,0.2213,0.55417,0.43267,0.47313,0.19682,1.8199,1.55469,1.98728,0.01073,0,0.00164225,0.00164225,0.00164225
8,264.169,1.81478,1.66153,2.05086,0.00747,1.73739,0.42138,0.4939,0.40523,0.18747,0.4166,0.49484,0.39653,0.18231,1.76792,1.3905,2.01523,0.01046,0,0.00163812,0.00163812,0.00163812
9,296.362,1.80232,1.63974,2.05141,0.00738,1.76961,0.43562,0.4005,0.33746,0.15713,0.41151,0.39919,0.32462,0.1242,1.72257,1.42549,2.19455,0.00988,0,0.00163399,0.00163399,0.00163399
10,328.677,1.75777,1.59634,2.06542,0.00693,1.75982,0.39423,0.48486,0.35557,0.17247,0.36988,0.46979,0.34741,0.14748,1.59948,1.43051,2.21961,0.00959,0,0.00162987,0.00162987,0.00162987
11,360.755,1.76711,1.6483,2.04299,0.00755,1.8158,0.41494,0.46566,0.41792,0.21753,0.42376,0.47229,0.41111,0.18435,1.60516,1.40868,1.86148,0.00954,0,0.00162574,0.00162574,0.00162574
12,392.864,1.77206,1.6189,2.00736,0.0072,1.72149,0.4534,0.31453,0.31324,0.16674,0.45461,0.31723,0.30932,0.13386,1.74335,1.47563,2.15708,0.01028,0,0.00162162,0.00162162,0.00162162
13,425.117,1.76185,1.62671,2.0605,0.00706,1.71487,0.42973,0.39553,0.32285,0.15631,0.4137,0.40606,0.32664,0.11626,1.70193,1.43061,2.30498,0.00993,0,0.00161749,0.00161749,0.00161749
14,457.332,1.74352,1.58987,1.9764,0.00707,1.78349,0.46369,0.52657,0.4134,0.21872,0.43699,0.5028,0.39214,0.15445,1.58985,1.37705,2.18872,0.00924,0,0.00161336,0.00161336,0.00161336
15,489.562,1.71203,1.5439,1.96104,0.00695,1.73026,0.52525,0.48335,0.51297,0.27747,0.52143,0.4736,0.53676,0.23643,1.65522,1.30968,1.89294,0.00969,0,0.00160924,0.00160924,0.00160924
16,521.747,1.7213,1.56207,1.9907,0.00685,1.66572,0.43488,0.45107,0.3883,0.2022,0.43488,0.45107,0.38961,0.16261,1.63599,1.36469,2.06736,0.00967,0,0.00160511,0.00160511,0.00160511
