epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,44.4724,2.06745,2.61862,3.96723,0.00912,6.36112,0.46791,0.3522,0.33318,0.16677,0.46683,0.34865,0.31026,0.12892,1.84871,2.06424,3.14387,0.01109,0,0.000329927,0.000329927,0.000329927
2,84.3904,1.78335,1.78886,2.25454,0.00707,2.68202,0.32511,0.47218,0.28465,0.13706,0.30263,0.42425,0.26137,0.08237,1.92283,1.82379,2.8857,0.01158,0,0.000661685,0.000661685,0.000661685
3,123.359,1.84702,1.74875,2.16032,0.00762,1.99262,0.29777,0.35281,0.26893,0.12399,0.37072,0.34487,0.29281,0.10782,1.91154,2.57577,2.63125,0.01145,0,0.000991793,0.000991793,0.000991793
4,162.215,1.90563,1.83253,2.23256,0.00773,1.97069,0.55381,0.33111,0.33349,0.14658,0.54031,0.31912,0.32673,0.12428,2.11904,2.503,2.38546,0.01343,0,0.00132025,0.00132025,0.00132025
5,199.022,1.8506,1.73385,2.18391,0.00759,1.90133,0.48668,0.40425,0.35028,0.16024,0.48706,0.39672,0.3544,0.12707,nan,nan,nan,nan,0,0.00164706,0.00164706,0.00164706
6,235.951,1.89109,1.7467,2.16504,0.00772,1.91572,0.52039,0.27166,0.27288,0.12931,0.3722,0.3829,0.27859,0.10849,1.92578,1.50574,2.49487,0.01151,0,0.00164637,0.00164637,0.00164637
7,273.037,1.87123,1.75641,2.16886,0.00791,1.96884,0.54678,0.35072,0.37769,0.18499,0.54414,0.34229,0.36642,0.13472,1.90491,1.74086,2.64195,0.01131,0,0.00164225,0.00164225,0.00164225
8,311.33,1.88726,1.73134,2.08221,0.0078,1.81321,0.432,0.46852,0.36822,0.1661,0.44163,0.46721,0.37863,0.15475,1.76875,1.4168,2.36594,0.01054,0,0.00163812,0.00163812,0.00163812
9,350.494,1.81643,1.63082,2.06699,0.00736,1.79426,0.36578,0.47756,0.37137,0.18705,0.36879,0.52358,0.37636,0.1557,1.82095,1.46171,2.10665,0.0107,0,0.00163399,0.00163399,0.00163399
10,390.093,1.78489,1.62351,2.02794,0.00707,1.76746,0.48292,0.3945,0.41447,0.20871,0.41164,0.4297,0.42291,0.16555,1.62371,1.475,1.99215,0.00951,0,0.00162987,0.00162987,0.00162987
11,429.08,1.81199,1.64504,2.05639,0.00777,1.86427,0.56494,0.4634,0.46632,0.20271,0.55185,0.47789,0.43905,0.15394,1.80191,1.50145,2.83531,0.01024,0,0.00162574,0.00162574,0.00162574
12,466.636,1.83949,1.65428,2.0318,0.00761,1.79549,0.54823,0.5044,0.43954,0.21841,0.53946,0.48661,0.41608,0.14842,1.80209,1.51328,2.1064,0.01046,0,0.00162162,0.00162162,0.00162162
13,504.183,1.76736,1.60601,1.96513,0.00707,1.70435,0.60224,0.45664,0.51767,0.28423,0.59554,0.47026,0.50978,0.22336,1.70097,1.42339,1.81388,0.00952,0,0.00161749,0.00161749,0.00161749
14,541.966,1.7624,1.57386,1.98776,0.00712,1.81077,0.49028,0.54964,0.51971,0.27544,0.5253,0.57564,0.54503,0.22107,1.64378,1.33012,2.13577,0.00932,0,0.00161336,0.00161336,0.00161336
15,579.56,1.71807,1.5631,1.93593,0.00692,1.75069,0.59013,0.40646,0.4703,0.27026,0.56544,0.42754,0.47707,0.20178,1.64934,1.30852,1.97148,0.00957,0,0.00160924,0.00160924,0.00160924
